date,count
2019/5/18 4:40,99.24
2019/5/18 4:45,99.49
2019/5/18 4:50,99.3
2019/5/18 4:55,99.3
2019/5/18 5:00,99.24
2019/5/18 5:05,99.33
2019/5/18 5:10,99.27
2019/5/18 5:15,99.21
2019/5/18 5:20,99.2
2019/5/18 5:25,99.23
2019/5/18 5:30,99.4
2019/5/18 5:35,99.37
2019/5/18 5:40,99.29
2019/5/18 5:45,99.3
2019/5/18 5:50,99.38
2019/5/18 5:55,99.27
2019/5/18 6:00,99.27
2019/5/18 6:05,99.38
2019/5/18 6:10,99.24
2019/5/18 6:15,99.4
2019/5/18 6:20,99.23
2019/5/18 6:25,99.32
2019/5/18 6:30,99.32
2019/5/18 6:35,99.38
2019/5/18 6:40,99.32
2019/5/18 6:45,99.29
2019/5/18 6:50,99.29
2019/5/18 6:55,99.29
2019/5/18 7:00,99.41
2019/5/18 7:05,99.16
2019/5/18 7:10,99.27
2019/5/18 7:15,99.41
2019/5/18 7:20,99.37
2019/5/18 7:25,99.33
2019/5/18 7:30,99.32
2019/5/18 7:35,99.26
2019/5/18 7:40,99.32
2019/5/18 7:45,99.35
2019/5/18 7:50,99.27
2019/5/18 7:55,99.32
2019/5/18 8:00,99.41
2019/5/18 8:05,99.21
2019/5/18 8:10,99.26
2019/5/18 8:15,99.24
2019/5/18 8:20,99.27
2019/5/18 8:25,99.35
2019/5/18 8:30,99.37
2019/5/18 8:35,99.32
2019/5/18 8:40,99.26
2019/5/18 8:45,99.27
2019/5/18 8:50,99.37
2019/5/18 8:55,99.27
2019/5/18 9:00,99.24
2019/5/18 9:05,99.38
2019/5/18 9:10,99.3
2019/5/18 9:15,99.38
2019/5/18 9:20,99.36
2019/5/18 9:25,99.2
2019/5/18 9:30,99.16
2019/5/18 9:35,99.38
2019/5/18 9:40,99.26
2019/5/18 9:45,99.37
2019/5/18 9:50,99.32
2019/5/18 9:55,99.24
2019/5/18 10:00,99.37
2019/5/18 10:05,99.37
2019/5/18 10:10,99.27
2019/5/18 10:15,99.35
2019/5/18 10:20,99.38
2019/5/18 10:25,99.29
2019/5/18 10:30,99.37
2019/5/18 10:35,99.38
2019/5/18 10:40,99.41
2019/5/18 10:45,99.26
2019/5/18 10:50,99.06
2019/5/18 10:55,99.04
2019/5/18 11:00,99.37
2019/5/18 11:05,99.37
2019/5/18 11:10,99.32
2019/5/18 11:15,99.38
2019/5/18 11:20,99.4
2019/5/18 11:25,99.33
2019/5/18 11:30,99.37
2019/5/18 11:35,99.21
2019/5/18 11:40,99.3
2019/5/18 11:45,99.29
2019/5/18 11:50,99.37
2019/5/18 11:55,99.29
2019/5/18 12:00,99.29
2019/5/18 12:05,99.29
2019/5/18 12:10,99.32
2019/5/18 12:15,99.3
2019/5/18 12:20,99.38
2019/5/18 12:25,99.35
2019/5/18 12:30,99.3
2019/5/18 12:35,99.38
2019/5/18 12:40,99.32
2019/5/18 12:45,99.4
2019/5/18 12:50,99.43
2019/5/18 12:55,99.38
2019/5/18 13:00,99.27
2019/5/18 13:05,99.37
2019/5/18 13:10,99.27
2019/5/18 13:15,99.29
2019/5/18 13:20,99.26
2019/5/18 13:25,99.4
2019/5/18 13:30,99.23
2019/5/18 13:35,99.29
2019/5/18 13:40,99.29
2019/5/18 13:45,99.35
2019/5/18 13:50,99.38
2019/5/18 13:55,99.27
2019/5/18 14:00,99.26
2019/5/18 14:05,99.32
2019/5/18 14:10,99.3
2019/5/18 14:15,99.37
2019/5/18 14:20,99.2
2019/5/18 14:25,99.41
2019/5/18 14:30,99.24
2019/5/18 14:35,99.26
2019/5/18 14:40,99.3
2019/5/18 14:45,99.27
2019/5/18 14:50,99.41
2019/5/18 14:55,99.21
2019/5/18 15:00,99.21
2019/5/18 15:05,99.32
2019/5/18 15:10,99.35
2019/5/18 15:15,99.35
2019/5/18 15:20,99.41
2019/5/18 15:25,99.43
2019/5/18 15:30,99.29
2019/5/18 15:35,99.29
2019/5/18 15:40,99.32
2019/5/18 15:45,99.33
2019/5/18 15:50,99.18
2019/5/18 15:55,99.3
2019/5/18 16:00,99.27
2019/5/18 16:05,99.35
2019/5/18 16:10,99.44
2019/5/18 16:15,99.38
2019/5/18 16:20,99.3
2019/5/18 16:25,99.3
2019/5/18 16:30,99.43
2019/5/18 16:35,99.35
2019/5/18 16:40,99.27
2019/5/18 16:45,99.29
2019/5/18 16:50,99.21
2019/5/18 16:55,99.26
2019/5/18 17:00,99.46
2019/5/18 17:05,99.2
2019/5/18 17:10,99.3
2019/5/18 17:15,99.23
2019/5/18 17:20,99.34
2019/5/18 17:25,99.33
2019/5/18 17:30,99.27
2019/5/18 17:35,99.29
2019/5/18 17:40,99.37
2019/5/18 17:45,99.27
2019/5/18 17:50,99.26
2019/5/18 17:55,99.32
2019/5/18 18:00,99.26
2019/5/18 18:05,99.27
2019/5/18 18:10,99.44
2019/5/18 18:15,99.21
2019/5/18 18:20,99.12
2019/5/18 18:25,99.1
2019/5/18 18:30,99.35
2019/5/18 18:35,99.35
2019/5/18 18:40,99.23
2019/5/18 18:45,99.23
2019/5/18 18:50,99.29
2019/5/18 18:55,99.29
2019/5/18 19:00,99.2
2019/5/18 19:05,99.24
2019/5/18 19:10,99.17
2019/5/18 19:15,99.3
2019/5/18 19:20,99.33
2019/5/18 19:25,99.32
2019/5/18 19:30,99.38
2019/5/18 19:35,99.26
2019/5/18 19:40,99.3
2019/5/18 19:45,99.32
2019/5/18 19:50,99.37
2019/5/18 19:55,99.24
2019/5/18 20:00,99.35
2019/5/18 20:05,99.33
2019/5/18 20:10,97.65
2019/5/18 20:15,99.27
2019/5/18 20:20,99.41
2019/5/18 20:25,99.32
2019/5/18 20:30,99.38
2019/5/18 20:35,99.33
2019/5/18 20:40,99.24
2019/5/18 20:45,99.29
2019/5/18 20:50,99.24
2019/5/18 20:55,99.33
2019/5/18 21:00,99.3
